group,date,link_text,url,filename
(unlabeled),2020-03-11,Agenda Documents,https://homeless.lacounty.gov/wp-content/uploads/2020/03/03.11.20-COAB-Mtg-PACKET4.pdf,03.11.20-COAB-Mtg-PACKET4.pdf
(unlabeled),2019-12-05,Agenda Documents,https://homeless.lacounty.gov/wp-content/uploads/2019/12/12.05.19-COAB-Mtg-Documents-FINAL2.pdf,12.05.19-COAB-Mtg-Documents-FINAL2.pdf
(unlabeled),2019-09-05,Agenda Documents,https://homeless.lacounty.gov/wp-content/uploads/2019/09/09.05.19-COAB-MTG-PACKET-FINAL4.pdf,09.05.19-COAB-MTG-PACKET-FINAL4.pdf
(unlabeled),2019-06-12,Agenda Documents,https://homeless.lacounty.gov/wp-content/uploads/2019/06/06.12.19-COAB-Mtg-Packet.pdf,06.12.19-COAB-Mtg-Packet.pdf
(unlabeled),2019-03-07,Agenda Documents,https://homeless.lacounty.gov/wp-content/uploads/2019/03/03.07.19-COAB-Mtg-Documents_FINAL2-2.pdf,03.07.19-COAB-Mtg-Documents_FINAL2-2.pdf
(unlabeled),unknown_date,Agenda,https://homeless.lacounty.gov/wp-content/uploads/2018/12/120618-COAB-Mtg-Agenda_FINAL.pdf,120618-COAB-Mtg-Agenda_FINAL.pdf
(unlabeled),2018-12-06,Minutes,https://homeless.lacounty.gov/wp-content/uploads/2021/05/12.06.18-COAB-Minutes-1.pdf,12.06.18-COAB-Minutes-1.pdf
(unlabeled),unknown_date,Agenda,https://homeless.lacounty.gov/wp-content/uploads/2018/08/COAB-Mtg-Agenda-090618-FINAL-1.pdf,COAB-Mtg-Agenda-090618-FINAL-1.pdf
(unlabeled),2018-09-06,Minutes,https://homeless.lacounty.gov/wp-content/uploads/2019/01/09.06.18-COAB-Minutes_FINAL.pdf,09.06.18-COAB-Minutes_FINAL.pdf
(unlabeled),unknown_date,Agenda,https://homeless.lacounty.gov/wp-content/uploads/2018/08/COAB-Mtg-Listening-Session-Agenda-081418-FINAL.pdf,COAB-Mtg-Listening-Session-Agenda-081418-FINAL.pdf
(unlabeled),2018-08-14,Minutes,https://homeless.lacounty.gov/wp-content/uploads/2018/09/08.14.18-COAB-Listening-Session-Minutes_FINAL.pdf,08.14.18-COAB-Listening-Session-Minutes_FINAL.pdf
(unlabeled),unknown_date,Agenda,https://homeless.lacounty.gov/wp-content/uploads/2018/06/060718-COAB-Mtg-Agenda_FINAL.pdf,060718-COAB-Mtg-Agenda_FINAL.pdf
(unlabeled),2018-06-07,Minutes,https://homeless.lacounty.gov/wp-content/uploads/2018/09/06.07.18-COAB-Minutes_FINAL.pdf,06.07.18-COAB-Minutes_FINAL.pdf
(unlabeled),2018-03-08,Agenda,https://homeless.lacounty.gov/wp-content/uploads/2018/08/COAB-Mtg-Agenda-FINAL_03.08.18.pdf,COAB-Mtg-Agenda-FINAL_03.08.18.pdf
(unlabeled),2018-05-03,Minutes,https://homeless.lacounty.gov/wp-content/uploads/2018/09/05.03.18-COAB-Listening-Session-Minutes_FINAL.pdf,05.03.18-COAB-Listening-Session-Minutes_FINAL.pdf
(unlabeled),2018-03-08,Agenda,https://homeless.lacounty.gov/wp-content/uploads/2018/03/COAB-Mtg-Agenda-FINAL-and-Minutes_03.08.18.pdf,COAB-Mtg-Agenda-FINAL-and-Minutes_03.08.18.pdf
(unlabeled),2018-03-08,Minutes,https://homeless.lacounty.gov/wp-content/uploads/2018/09/03.08.18-COAB-Meeting-Minutes_FINAL.pdf,03.08.18-COAB-Meeting-Minutes_FINAL.pdf
(unlabeled),unknown_date,Agenda,https://homeless.lacounty.gov/wp-content/uploads/2018/04/1031228_MEASUREHCitizens_OversightAdvisoryBoard.pdf,1031228_MEASUREHCitizens_OversightAdvisoryBoard.pdf
(unlabeled),2017-12-07,Minutes,https://homeless.lacounty.gov/wp-content/uploads/2018/03/12.7.17-COAB-Minutes_FINAL.pdf,12.7.17-COAB-Minutes_FINAL.pdf
(unlabeled),2017-09-26,Agenda,https://homeless.lacounty.gov/wp-content/uploads/2017/09/COAB-Mtg-Agenda-9.26.17-FINAL.pdf,COAB-Mtg-Agenda-9.26.17-FINAL.pdf
(unlabeled),unknown_date,Minutes,https://homeless.lacounty.gov/wp-content/uploads/2018/01/COAB_Mtg-Minutes-9.26.17_FINAL-1.pdf,COAB_Mtg-Minutes-9.26.17_FINAL-1.pdf
(unlabeled),unknown_date,Department Head Salaries,https://file.lacounty.gov/SDSInter/lac/1042360_DepartmentHeadSalaries.pdf,1042360_DepartmentHeadSalaries.pdf
(unlabeled),unknown_date,Elected Officials Salaries,https://file.lacounty.gov/SDSInter/lac/1044065_ElectedOfficialsSalaries.pdf,1044065_ElectedOfficialsSalaries.pdf
(unlabeled),unknown_date,LA County by the Numbers,http://file.lacounty.gov/SDSInter/lac/1139128_LACountyBytheNumbers.pdf,1139128_LACountyBytheNumbers.pdf
